Name,Description
Stock Loan Maturity Value,The total amount of stock loans that will mature on a specific date or within a specified period
Stock Loan Maturity Override Type,The type of override applied to the maturity date of a stock loan
Maximum Stock Loan Exposure,The highest possible exposure amount for a specific stock loan transaction
Minimum Exposure Limit,The lowest acceptable level of exposure for a specific stock loan transaction
Stock Loan Price Date,Date when the stock loan price was last updated
Price Source for Stock Loan,Identifies the source of the market value for stock loan transactions
Maximum Borrow Amount,The highest amount that can be borrowed for a specific stock loan transaction
Maximum Excess Unfound Collateral,The maximum possible excess collateral that is not found in the system
Maximum Unfound Collateral,The highest amount of unfound collateral recorded for a specific stock loan transaction
Maximum Excess Fund Loss,The maximum possible excess fund loss due to stock loan transactions
Maximum Unfunded Collateral,The highest amount of unfunded collateral that can be provided for a stock loan transaction
Original Row Identifier,Unique identifier for the original record in the Stock Loan system
Original Counterparty ID,Unique identifier for the original counterparty in a stock loan transaction
Parent Code,Unique identifier for the parent entity in the stock loan system
Stock Borrower Name,The name of the party borrowing stocks in a securities lending transaction
Stock Loan Pending Event Identifier,Unique identifier for a pending event in the stock loan process
Stock Loan Price,The price at which stocks are being loaned in the financial market
Stock Loan Participants,Unique identifier for the principal party involved in a stock loan transaction
Product Origin,Identifies the source of the product in the stock loan process
Stock Loan Quantity,The number of stocks borrowed in a stock loan transaction
Stock Loan Interest Rate,Interest rate applied to stock loans in the financial system
Stock Loan Transaction ID,Unique identifier for each stock loan transaction in the system
Stock Loan Data Source,Identifies the source of the stock loan data in the system
Stock Loan Start Date,Date when a stock loan transaction begins
Stock Loan Strategy,Identification code for the specific stock loan strategy
Stock Loan Database Identifier,Unique identifier for each record in the Stock Loan database
Stock Loan Term Indicator,Indicator of the term date for stock loan transactions
Stock Loan Transaction Date,Date of the stock loan transaction
Triparty Indicator,Indicates whether the stock loan transaction involves a triparty agent or not
Ultimate Trading Name,The official name of the company or organization that is engaged in trading activities
Stock Loan Amount,The amount of money involved in a stock loan transaction
